11-Dec-21,18:31:52.380 7        5cde atm_tasks::calculateActualTimes, Task 2 start time: 18:31:52
11-Dec-21,18:31:52.381 7        5cde atm_tasks::calculateActualTimes, Task 2 end time: 19:21:52
11-Dec-21,18:31:52.381 7        5cde atm_tasks::calculateActualTimes, Task 1 duration: 1200 s
11-Dec-21,18:31:52.381 7        5cde atm_tasks::calculateActualTimes, Old starttime = 1324513312
11-Dec-21,18:31:52.381 7        5cde atm_tasks::calculateActualTimes, Timeest = 00:20
11-Dec-21,18:31:52.381 7        5cde atm_tasks::calculateActualTimes, New starttime = 1324514512 = 2011-12-21 19:41:52
11-Dec-21,18:31:52.382 7        5cde atm_tasks::calculateActualTimes, Task 1 start time: 19:21:52
11-Dec-21,18:31:52.382 7        5cde atm_tasks::calculateActualTimes, Task 1 end time: 19:41:52
11-Dec-21,18:31:52.382 7        5cde atm_tasks::insertTaskToSchedule, Current schedule for user 1:
11-Dec-21,18:31:52.382 7        5cde atm_tasks::insertTaskToSchedule,   2 start time = 2011-12-21 18:31:52, duration = 00:50
11-Dec-21,18:31:52.382 7        5cde atm_tasks::insertTaskToSchedule,   1 start time = 2011-12-21 19:21:52, duration = 00:20
11-Dec-21,18:31:52.382 7        5cde atm_tasks::insertTaskToSchedule, Inserting task 3
11-Dec-21,18:31:52.383 7        5cde ent_dependency::depend_parents, Getting tasks that task 3 depends on.
11-Dec-21,18:31:52.383 7        5cde ent_dependency::depend_parents, Tasks found: 0
11-Dec-21,18:31:52.383 7        5cde ent_dependency::depend_children, Getting children of 3
11-Dec-21,18:31:52.384 7        5cde ent_dependency::depend_children, Tasks found: 0
11-Dec-21,18:31:52.384 7        5cde atm_tasks::insertTaskToSchedule, Skipping all tasks until 
11-Dec-21,18:31:52.384 7        5cde atm_tasks::insertTaskToSchedule, Skipping all parents. Parent count: 0
11-Dec-21,18:31:52.385 7        5cde atm_tasks::insertTaskToSchedule, rightMostParentIdx = -1
11-Dec-21,18:31:52.385 7        5cde atm_tasks::insertTaskToSchedule, rightMostParentIdx = -1
11-Dec-21,18:31:52.385 7        5cde atm_tasks::insertTaskToSchedule, End of all parents: 2011-12-21 18:31:52
11-Dec-21,18:31:52.386 7        5cde atm_tasks::insertTaskToSchedule, Schedule End time: 2011-12-21 18:31:52
11-Dec-21,18:31:52.386 7        5cde ent_dependency::depend_children, Getting children of 2
11-Dec-21,18:31:52.386 7        5cde ent_dependency::depend_children, Tasks found: 1
11-Dec-21,18:31:52.387 7        5cde ent_dependency::depend_children, Getting children of 1
11-Dec-21,18:31:52.387 7        5cde ent_dependency::depend_children, Tasks found: 1
11-Dec-21,18:31:52.387 7        5cde ent_dependency::depend_children, Getting children of 4
11-Dec-21,18:31:52.388 7        5cde ent_dependency::depend_children, Tasks found: 0
11-Dec-21,18:31:52.388 7        5cde atm_tasks::insertTaskToSchedule, Skip task tree length = 1200, insTreeLength = 0
11-Dec-21,18:31:52.388 7        5cde ent_dependency::depend_children, Getting children of 1
11-Dec-21,18:31:52.389 7        5cde ent_dependency::depend_children, Tasks found: 1
11-Dec-21,18:31:52.389 7        5cde ent_dependency::depend_children, Getting children of 4
11-Dec-21,18:31:52.389 7        5cde ent_dependency::depend_children, Tasks found: 0
11-Dec-21,18:31:52.390 7        5cde atm_tasks::insertTaskToSchedule, Skip task tree length = 2400, insTreeLength = 0
11-Dec-21,18:31:52.390 7        5cde atm_tasks::insertTaskToSchedule, Task 3 added at time position 2011-12-21 19:41:52
11-Dec-21,18:31:52.390 7        5cde atm_tasks::calculateActualTimes, Task 2 duration: 3000 s
11-Dec-21,18:31:52.390 7        5cde atm_tasks::calculateActualTimes, Old starttime = 1324510312
11-Dec-21,18:31:52.390 7        5cde atm_tasks::calculateActualTimes, Timeest = 00:50
11-Dec-21,18:31:52.391 7        5cde atm_tasks::calculateActualTimes, New starttime = 1324513312 = 2011-12-21 19:21:52
11-Dec-21,18:31:52.391 7        5cde atm_tasks::calculateActualTimes, Task 2 start time: 18:31:52
11-Dec-21,18:31:52.391 7        5cde atm_tasks::calculateActualTimes, Task 2 end time: 19:21:52
11-Dec-21,18:31:52.391 7        5cde atm_tasks::calculateActualTimes, Task 1 duration: 1200 s
11-Dec-21,18:31:52.391 7        5cde atm_tasks::calculateActualTimes, Old starttime = 1324513312
11-Dec-21,18:31:52.392 7        5cde atm_tasks::calculateActualTimes, Timeest = 00:20
11-Dec-21,18:31:52.392 7        5cde atm_tasks::calculateActualTimes, New starttime = 1324514512 = 2011-12-21 19:41:52
11-Dec-21,18:31:52.392 7        5cde atm_tasks::calculateActualTimes, Task 1 start time: 19:21:52
11-Dec-21,18:31:52.392 7        5cde atm_tasks::calculateActualTimes, Task 1 end time: 19:41:52
11-Dec-21,18:31:52.392 7        5cde atm_tasks::calculateActualTimes, Task 3 duration: 3600 s
